Galaxy,Supernova,Ra,Dec,ESO_xCoord,ESO_yCoord,Type,ESO_Intensity,MUSE_xCoord,MUSE_yCoord,MUSE_Intensity,ESO-MPG_Hasub_wcomb_corr,MUSEResolution,MUSEmap,Removed,InMuseSample
NGC4321,SN1959E,185.74543194444445,15.816989814814816,1294.09699704579,1455.1265143720866,I,1.8478534,297.8328298271027,358.4935857458107,1267.1885378564093,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4321_Hasub_flux_corrs.fits,1.16,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC4321-1.16asec_MAPS.fits,False,True
NGC4496A,SN1960F,187.92520833333333,3.9466111111111113,673.2508729703404,956.3886831158611,Ia,0.08794757,,,,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4496A_Hasub_flux_corrs.fits,,,False,False
NGC4496A,SN1988M,187.92041666666668,3.9225,745.6658442936118,590.9802382396861,II,1.0867594,,,,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4496A_Hasub_flux_corrs.fits,,,False,False
NGC4535,AT2020qwi,188.45333333333335,8.166277777777777,4022.7152236958814,1573.5537346982514,Candidate,0.33661184,,,,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4535_Hasub_flux_corrs.fits,0.56,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC4535-0.56asec_MAPS.fits,True,False
NGC4540,SN2001Z,188.73279166666669,15.56875,248.2832050375166,810.5737968154358,II,0.14385411,,,,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4540_Hasub_flux_corrs.fits,,,False,False
NGC4569,COVET-090220F,189.07716666666667,13.247194444444444,4222.628996946725,3575.897797392368,Unclassified,-0.20874038,,,,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4569_Hasub_flux_corrs.fits,,,False,False
NGC4569,AT2021dgs,189.20860833333333,13.27838888888889,2283.7957602360784,4048.724648531877,Candidate,-0.26653755,,,,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4569_Hasub_flux_corrs.fits,,,True,False
NGC4569,PTF13bdl,189.23391666666666,13.129305555555556,1909.6093998444371,1789.5119187751075,Unclassified,-0.69260997,,,,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4569_Hasub_flux_corrs.fits,,,False,False
NGC4571,PSNJ12364391+1416186,189.18291666666667,14.271833333333333,1661.6926518307346,1723.4371226951607,Unclassified,-0.23887062,,,,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4571_Hasub_flux_corrs.fits,,,False,False
NGC6744,SN2005at,287.47320833333333,-63.823,3720.6960332891404,4473.218647211148,Ic,3.1171134,,,,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC6744_Hasub_flux_corrs.fits,,,False,False
NGC6744,GRB940118,287.7,-63.94,2213.3999974946305,2693.2162329539333,LGRB,0.17727846,,,,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC6744_Hasub_flux_corrs.fits,,,False,False
NGC6744,Gaia21cum,287.049,-63.725300000000004,6565.444460729574,5951.109879084548,Unclassified,nan,,,,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC6744_Hasub_flux_corrs.fits,,,True,False
