0,1,2,3,4,5,6,7,8,9,10,11,12
1.98E+07,-3.582,39.919,54.822,-30.000,-30.000,54.139,1,1.3,1,1.3,-30.000,-30.000
1.99E+07,-3.583,39.918,54.824,-30.000,-30.000,54.139,1,1.3,1,1.2,-30.000,-30.000
2E+07,-3.585,39.916,54.826,-30.000,-30.000,54.139,1,1.2,1,1.2,-30.000,-30.000
2.01E+07,-3.586,39.915,54.828,-30.000,-30.000,54.139,1,1.2,1,1.2,-30.000,-30.000
2.02E+07,-3.587,39.913,54.829,-30.000,-30.000,54.139,1,1.2,1,1.1,-30.000,-30.000
2.03E+07,-3.589,39.912,54.831,-30.000,-30.000,54.139,1,1.1,1,1.1,-30.000,-30.000
2.04E+07,-3.590,39.911,54.832,-30.000,-30.000,54.139,1,1.1,1,1.1,-30.000,-30.000
2.05E+07,-3.592,39.909,54.834,-30.000,-30.000,54.139,1,1.1,1,1.1,-30.000,-30.000
2.06E+07,-3.593,39.908,54.836,-30.000,-30.000,54.139,1,1.0,1,1.0,-30.000,-30.000
2.07E+07,-3.594,39.907,54.837,-30.000,-30.000,54.139,1,1.0,1,1.0,-30.000,-30.000
2.08E+07,-3.595,39.905,54.839,-30.000,-30.000,54.139,1,1.0,1,1.0,-30.000,-30.000
2.09E+07,-3.597,39.904,54.841,-30.000,-30.000,54.139,1,0.9,1,0.9,-30.000,-30.000
2.1E+07,-3.598,39.903,54.842,-30.000,-30.000,54.139,1,0.9,1,0.9,-30.000,-30.000
2.11E+07,-3.599,39.901,54.844,-30.000,-30.000,54.139,1,0.9,1,0.9,-30.000,-30.000
2.12E+07,-3.601,39.900,54.845,-30.000,-30.000,54.139,1,0.9,1,0.8,-30.000,-30.000
2.13E+07,-3.602,39.899,54.847,-30.000,-30.000,54.139,1,0.8,1,0.8,-30.000,-30.000
2.14E+07,-3.603,39.897,54.848,-30.000,-30.000,54.139,1,0.8,1,0.8,-30.000,-30.000
2.15E+07,-3.604,39.896,54.850,-30.000,-30.000,54.139,1,0.8,1,0.8,-30.000,-30.000
2.16E+07,-3.606,39.895,54.851,-30.000,-30.000,54.139,1,0.8,1,0.7,-30.000,-30.000
2.17E+07,-3.607,39.894,54.853,-30.000,-30.000,54.139,1,0.7,1,0.7,-30.000,-30.000
2.18E+07,-3.609,39.892,54.854,-30.000,-30.000,54.139,1,0.7,1,0.7,-30.000,-30.000
2.19E+07,-3.610,39.891,54.856,-30.000,-30.000,54.139,1,0.7,1,0.7,-30.000,-30.000
2.2E+07,-3.611,39.890,54.857,-30.000,-30.000,54.139,1,0.6,1,0.6,-30.000,-30.000
2.21E+07,-3.612,39.889,54.859,-30.000,-30.000,54.139,1,0.6,1,0.6,-30.000,-30.000
2.22E+07,-3.613,39.887,54.860,-30.000,-30.000,54.139,1,0.6,1,0.6,-30.000,-30.000
2.23E+07,-3.615,39.886,54.862,-30.000,-30.000,54.139,1,0.6,1,0.6,-30.000,-30.000
2.24E+07,-3.616,39.885,54.863,-30.000,-30.000,54.139,1,0.5,1,0.5,-30.000,-30.000
2.25E+07,-3.617,39.884,54.865,-30.000,-30.000,54.139,1,0.5,1,0.5,-30.000,-30.000
2.26E+07,-3.618,39.882,54.866,-30.000,-30.000,54.139,1,0.5,1,0.5,-30.000,-30.000
2.27E+07,-3.620,39.881,54.867,-30.000,-30.000,54.139,1,0.5,1,0.4,-30.000,-30.000
2.28E+07,-3.621,39.880,54.869,-30.000,-30.000,54.139,1,0.4,1,0.4,-30.000,-30.000
2.29E+07,-3.622,39.879,54.870,-30.000,-30.000,54.139,1,0.4,1,0.4,-30.000,-30.000
2.3E+07,-3.623,39.878,54.872,-30.000,-30.000,54.139,1,0.4,1,0.4,-30.000,-30.000
2.31E+07,-3.624,39.876,54.873,-30.000,-30.000,54.139,1,0.4,1,0.4,-30.000,-30.000
2.32E+07,-3.626,39.875,54.874,-30.000,-30.000,54.139,1,0.3,1,0.3,-30.000,-30.000
2.33E+07,-3.627,39.874,54.876,-30.000,-30.000,54.139,1,0.3,1,0.3,-30.000,-30.000
2.34E+07,-3.628,39.873,54.877,-30.000,-30.000,54.139,1,0.3,1,0.3,-30.000,-30.000
2.35E+07,-3.629,39.872,54.878,-30.000,-30.000,54.139,1,0.3,1,0.3,-30.000,-30.000
2.36E+07,-3.630,39.871,54.880,-30.000,-30.000,54.139,1,0.2,1,0.2,-30.000,-30.000
2.37E+07,-3.632,39.869,54.881,-30.000,-30.000,54.139,1,0.2,1,0.2,-30.000,-30.000
2.38E+07,-3.632,39.868,54.882,-30.000,-30.000,54.139,1,0.2,1,0.2,-30.000,-30.000
2.39E+07,-3.634,39.867,54.884,-30.000,-30.000,54.139,1,0.2,1,0.2,-30.000,-30.000
2.4E+07,-3.635,39.866,54.885,-30.000,-30.000,54.139,1,0.2,1,0.1,-30.000,-30.000
2.41E+07,-3.636,39.865,54.886,-30.000,-30.000,54.139,1,0.1,1,0.1,-30.000,-30.000
2.42E+07,-3.637,39.863,54.888,-30.000,-30.000,54.139,1,0.1,1,0.1,-30.000,-30.000
2.43E+07,-3.638,39.863,54.889,-30.000,-30.000,54.139,1,0.1,1,0.1,-30.000,-30.000
2.44E+07,-3.640,39.861,54.890,-30.000,-30.000,54.139,1,0.1,1,0.1,-30.000,-30.000
2.45E+07,-3.641,39.860,54.892,-30.000,-30.000,54.139,1,0.0,1,0.0,-30.000,-30.000
2.46E+07,-3.642,39.859,54.893,-30.000,-30.000,54.139,1,0.0,1,0.0,-30.000,-30.000
2.47E+07,-3.643,39.858,54.894,-30.000,-30.000,54.139,1,0.0,1,0.0,-30.000,-30.000
2.48E+07,-3.644,39.857,54.895,-30.000,-30.000,54.139,1,0.0,1,0.0,-30.000,-30.000
2.49E+07,-3.645,39.856,54.897,-30.000,-30.000,54.139,1,0.0,9.9,-30.000,-30.000
2.5E+07,-3.646,39.855,54.898,-30.000,-30.000,54.139,9.9,9.9,-30.000,-30.000
2.51E+07,-3.647,39.854,54.899,-30.000,-30.000,54.139,9.9,9.9,-30.000,-30.000
2.52E+07,-3.648,39.852,54.900,-30.000,-30.000,54.139,9.9,9.9,-30.000,-30.000
2.53E+07,-3.650,39.851,54.902,-30.000,-30.000,54.139,9.9,9.9,-30.000,-30.000
